# Temporary Swift test prints (the prints themselves were never committed), one `<record>|<key>|<json>` line per observation,
# doubles at %.17g. Regenerate: add the prints, `swift test --filter OCCTShapeHealingTests`, keep the EVID| lines.
K001|count|360
K001|first|[5, 0, 0]
K001|last|[5, -1.2246467991473533e-15, 0]
K001|maxRadiusDev|8.881784197001252e-16
K002|first|2
K002|last|8
K002|returned|true
K003|first|0
K003|last|10
K003|returned|true
K004|resultIsNull|true
K005|c0After|12
K005|encodedAfter|12
K005|encodedBefore|0
K005|sharedEdges|12
K005|volume|999.9999999999998
K006|aboveC0After|48
K006|encodedAfter|48
K006|faces|26
K006|sharedEdges|48
K007|encoded|0
K007|firstSharedEdgeHasContinuity|false
K007|sharedEdges|1
K008|area|1256.637061435917
K008|faces|1
K008|produced|true
K009|resultIsNull|true
K010|hasFreeBounds|false
K011|closedEdges|6
K011|closedWires|1
K011|openWires|0
K012|hasFreeBounds|false
K013|closedWires|0
K013|faces|1
K013|openWires|0
K014|closedEdges|8
K014|closedWires|2
K014|openWires|0
K015|surfaces.bspline|0
K015|surfaces.cylinder|1
K015|surfaces.plane|2
K015|valid|true
K016|area|100.00000000000003
K016|notches|0
K016|perimeter|39.999999999999936
K016|ratio|0
K016|width|0
K017|edges|4
K018|boundInfoAtIndex0|true
K018|boundInfoAtIndex1|true
K018|closedWires|2
K019|closed|0
K019|open|0
K019|total|0
K020|bound0.area|100.00000000000003
K020|bound0.notches|0
K020|bound0.perimeter|39.999999999999936
K020|bound0.ratio|0
K020|bound0.sameViaProps|true
K020|bound0.width|0
K020|bound1.area|100.00000000000003
K020|bound1.notches|0
K020|bound1.perimeter|39.999999999999936
K020|bound1.ratio|0
K020|bound1.sameViaProps|true
K020|bound1.width|0
K020|closedWires|2
K021|faces|6
K021|valid|false
K021|volume|1000.0000000000001
K022|refused|true
K023|refused|true
K024|refused|true
K025|refused|false
K026|refused|true
K027|faces|6
K027|freeEdges|0
K027|multipleEdges|0
K027|typeOrdinal|3
K028|inputEdges|8
K028|shapeEdges|8
K028|shapeFaces|2
K029|closedWires|1
K029|openWires|0
K029|shapeFaces|5
K030|closedCompoundFaces|0
K030|closedWires|1
K030|openWires|0
K031|closedWires|2
K031|openWires|0
K031|shapeFaces|2
K032|volumeAfter|785.3999945330238
K032|volumeBefore|785.3981633974482
K033|deviation|0.0005064525299411152
K034|c0|0.0005064525299411152
K034|c1|0.0005064525299411152
